,protein,X60,X100,X200,X300,X1000,Localization
701,sll1625,914791.,1136917,609778.,532888.,611677.,CytoplasmicMembrane
702,ssr1480,3681155,2368715,2329322,3325524,761702.,Unknown
703,slr1848,4648963,3369449,4849281,4207872,5608767,Cytoplasmic
704,slr0089,617040.,511475.,798358.,692326.,409514.,Unknown
705,slr1041,155871.,102842.,124853.,93417.6,100841.,Cytoplasmic
706,slr1898,1008836,2339269,1287125,853478.,890711.,Cytoplasmic
707,sll0558,1564946,1314464,1141407,1053190,952212.,Unknown
708,sll0759,306390.,265473.,192781.,127461.,102946.,CytoplasmicMembrane
709,slr0516,2928632,2368588,3730946,3879952,3488481,Extracellular
710,sll0533,1303165,1312279,1397263,1187634,7679715,Cytoplasmic
711,slr2097,6111370,5726740,5582092,4404931,3627290,Cytoplasmic
712,slr1161,3538232,3286331,4579928,3393531,3158869,Cytoplasmic
713,sll0436,888077.,1057276,1673260,2153292,3610222,Unknown
714,slr1949,1648355,1306866,1348368,1470876,889645.,Unknown
715,sll1262,507172.,311305.,870707.,1061273,762175.,Unknown
716,sll1096,1552433,1479783,2424851,2635023,2150804,Cytoplasmic
717,slr0637,1327116,951468.,1835957,1673608,2017232,Unknown
718,sll0888,665832.,581763.,343475.,301530.,134043.,Cytoplasmic
719,sll1372,177145.,124385.,176320.,171445.,444664.,CytoplasmicMembrane
720,sll0048,859845.,588229.,540999.,532905.,643766.,Cytoplasmic
721,ssl0563,7516148,7593448,1799770,1913684,1862820,CytoplasmicMembrane
722,sll0402,1232837,932905.,902855.,1069328,775837.,Cytoplasmic
723,slr0721,2285370,1111042,2901476,2652387,1881355,Cytoplasmic
724,sll1892,1123034,854093.,542499.,467011.,324517.,Unknown
725,sll1324,201409.,219160.,191888.,120302.,750257.,Cytoplasmic
726,slr1819,1037993,597057.,1017550,810890.,516663.,Extracellular
727,slr0260,263813.,221607.,675420.,476523.,452174.,Cytoplasmic
728,slr1325,1218369,864691.,1649059,1622794,1414631,Cytoplasmic
729,sll0587,1722663,1156283,1552902,1516811,1956220,Cytoplasmic
730,slr5071,476925.,211190.,359485.,232846.,157455.,Unknown
731,slr1398,246591.,210079.,247035.,179440.,81282.4,Unknown
732,slr1693,1305814,945767.,1590632,1389606,1805856,Cytoplasmic
733,ssl3093,1055635,1109172,9437064,1040725,4270223,CytoplasmicMembrane
734,sll0043,302911.,391365.,367463.,388913.,510210.,Unknown
735,slr0007,2673626,2939474,2600744,2218085,987609.,Cytoplasmic
736,slr0804,2068681,3164980,3793835,4020396,3025092,Periplasmic
737,ssl0352,1216942,1578626,1643156,2388592,2341225,Unknown
738,sll0044,202406.,145471.,164273.,105457.,42943.4,Unknown
739,slr0862,989586.,1676147,264082.,582524.,981918.,Cytoplasmic
740,sll1070,1832398,1905850,3272372,2968385,3385110,Cytoplasmic
741,ssr2799,1932306,1890659,2507896,2741062,1706573,Cytoplasmic
742,ssl2296,2852798,2915192,3743409,4112935,5383453,Unknown
743,ssl0461,2719357,1927548,3327273,6862238,4648058,Unknown
744,slr1722,1727665,3299553,1108384,1018323,786930.,Cytoplasmic
745,ssl2814,91983.0,143958.,69513.0,64735.4,202111.,Unknown
746,ssr2201,316614.,231135.,258348.,163380.,128046.,Unknown
747,slr0993,602619.,923878.,1643182,2397473,1541187,Unknown
748,slr1255,313270.,351677.,1069734,540136.,1095362,Cytoplasmic
749,ssl0467,8502676,1042928,2849580,2040294,1233116,Unknown
750,slr0453,1282171,974323.,1316138,885784.,1099848,Cytoplasmic
751,slr9201,1278949,1498102,1310534,1349125,3185293,Unknown
752,slr0431,156562.,334294.,87272.5,77471.0,199227.,Periplasmic
753,sll1873,7529125,7343942,1641603,4796417,4249377,Unknown
754,slr1974,762388.,499596.,898505.,832674.,696261.,Cytoplasmic
755,slr0924,2087939,2800516,4022718,4907083,5079830,CytoplasmicMembrane
756,sll1290,1079654,873087.,1270439,1315708,1620147,Cytoplasmic
757,sll1084,95720.9,180538.,95352.8,74024.4,193122.,Cytoplasmic
758,sll1142,2289918,1527014,1873143,2657493,3039869,Cytoplasmic
759,sll0171,1504801,1236275,1663366,1454888,1001600,Cytoplasmic
760,slr0013,1062485,1140978,914133.,1194011,2055790,Unknown
761,sll0400,196157.,253012.,163329.,156402.,116907.,Unknown
762,sll0180,5830936,5760412,5795893,5119875,8343976,OuterMembrane
763,sll1483,553571.,1581927,433884.,609521.,785512.,Unknown
764,sll1767,868577.,722101.,413339.,194557.,98884.6,Unknown
765,ssr2857,2263764,2850701,1716306,1642831,1245010,Unknown
766,sll0072,349202.,210930.,317460.,265536.,249635.,Cytoplasmic
767,sll0726,2363101,1966719,2600445,2454362,3595814,Unknown
768,sll1709,348221.,295794.,518626.,385740.,596457.,Cytoplasmic
769,slr2032,117606.,221814.,116255.,186709.,96842.3,Cytoplasmic
770,slr0335,7070304,5453387,9368479,7463677,8506715,CytoplasmicMembrane
771,slr2143,629826.,568891.,545437.,503412.,634516.,Cytoplasmic
772,slr0442,2746985,1717761,1970629,1951326,1889871,OuterMembrane
773,slr2047,1154167,1774455,1210680,1667108,3024014,Cytoplasmic
774,sll1514,503675.,1672181,1465200,334657.,924833.,Cytoplasmic
775,slr0861,1652304,1150101,1919633,1698632,1659111,CytoplasmicMembrane
776,ssl2717,831533.,842081.,845996.,1031444,1236068,Unknown
777,slr0147,1250596,632528.,1202005,780863.,470979.,Cytoplasmic
778,sll0325,190211.,156256.,168812.,194220.,292484.,Unknown
779,slr0079,1108931,910298.,1228595,978400.,1362219,Cytoplasmic
780,sll1362,893882.,831425.,790594.,1167319,1652929,Cytoplasmic
781,slr0185,6314056,4009463,6152741,5288900,4229640,Unknown
782,sll0023,781917.,788548.,964382.,859793.,1547911,Cytoplasmic
783,ssl1493,185125.,195726.,555361.,309256.,723655.,Cytoplasmic
784,sll0900,4758961,3575597,3781412,3701056,2311890,Cytoplasmic
785,slr0689,146070.,140735.,306580.,233660.,314686.,Cytoplasmic
786,slr6110,553515.,353626.,292067.,195310.,238155.,CytoplasmicMembrane
787,sll1933,161213.,186389.,204143.,232664.,327982.,Cytoplasmic
788,sll1743,1579785,1681879,5653250,5279184,1240466,Cytoplasmic
789,slr1983,555607.,567033.,798880.,682697.,1062080,Cytoplasmic
790,slr1076,964343.,523203.,685590.,725949.,939727.,Cytoplasmic
791,slr2025,5700608,8564139,1131932,1169305,1024034,Cytoplasmic
792,sll1270,244323.,208847.,438709.,400482.,467645.,CytoplasmicMembrane
793,slr0370,2812163,1937613,1793029,1602549,2461595,Cytoplasmic
794,ssl2501,310353.,316072.,343336.,689446.,506242.,Unknown
795,slr0884,4694071,5773657,4263575,5414565,7764933,Cytoplasmic
796,sll1811,584290.,513792.,511557.,764418.,1033529,Cytoplasmic
797,sll1769,1757295,1712977,2767255,3273273,4086614,Unknown
798,slr1964,1350166,1625896,1307983,915516.,614262.,CytoplasmicMembrane
799,sll0236,669897.,513793.,567359.,406974.,338711.,Cytoplasmic
800,sll0156,229701.,142160.,193206.,172251.,367504.,Periplasmic
801,slr1665,3887413,2054592,1271236,1296982,2653379,Cytoplasmic
802,sll0756,335570.,543489.,254641.,265016.,592818.,CytoplasmicMembrane
803,sll1566,2905266,1974450,3963612,2728791,1316631,Cytoplasmic
804,sll1265,450750.,614135.,614075.,686565.,1037947,Unknown
805,slr1305,671275.,450023.,617897.,549321.,310664.,CytoplasmicMembrane
806,slr0780,1138418,925596.,787256.,885315.,1198317,Cytoplasmic
807,slr1573,1656993,1475048,1278888,879082.,1307506,Cytoplasmic
808,sll0300,100939.,86454.5,149474.,110401.,206068.,Cytoplasmic
809,sll1680,1075562,1043246,1868601,1985221,1368892,Cytoplasmic
810,sll0443,662801.,428689.,931857.,879466.,680600.,Unknown
811,sll0016,818919.,1054204,2107066,2060267,2650989,OuterMembrane
812,slr1940,176338.,655062.,158405.,199125.,258388.,Unknown
813,slr1783,5329633,4680552,5803940,5057780,3450926,Cytoplasmic
814,slr0440,322201.,219405.,448199.,394533.,501036.,Unknown
815,slr1338,546720.,237055.,388201.,322204.,217436.,Unknown
816,sll1454,328542.,434127.,572655.,466899.,764322.,Unknown
817,slr0605,1060080,964648.,948786.,1280845,1269172,Cytoplasmic
818,ssr0335,1108627,1042616,824325.,840839.,703070.,Unknown
819,sll5059,239830.,252537.,151824.,84564.2,150482.,Cytoplasmic
820,slr6049,1516247,1271237,721466.,679557.,2908159,Unknown
821,slr1064,1248144,482918.,1264735,1013305,756222.,Cytoplasmic
822,slr0906,5890201,7791785,1367346,1061767,1220540,CytoplasmicMembrane
823,slr1540,1605895,591743.,472307.,358573.,326628.,Cytoplasmic
824,slr0434,1359177,2520207,1385331,979040.,697414.,Cytoplasmic
825,slr0823,3419359,3695157,4617455,4277532,2678849,Unknown
826,sll0071,460008.,438664.,531737.,376972.,395419.,Cytoplasmic
827,slr1129,3085773,4158275,4260943,4149753,6461535,Cytoplasmic
828,slr0657,1341286,1223419,1871798,2243731,4465913,Cytoplasmic
829,slr0038,1770536,1820477,2023795,1368946,2622489,Unknown
830,slr2088,252714.,969085.,173354.,220091.,191326.,Cytoplasmic
831,slr0923,3383683,4826743,4453341,4566284,707421.,Unknown
832,ssl0294,1247459,1718517,786599.,676913.,1081425,Unknown
833,sll1298,3827392,3745808,2791888,2786810,2754481,Unknown
834,sll1004,113881.,138101.,212473.,231779.,280235.,CytoplasmicMembrane
835,sll0576,1488399,8227016,2023416,2172536,2692743,Cytoplasmic
836,sll0373,906008.,448968.,984209.,761551.,534211.,Unknown
837,slr1841,2585922,4023646,4229887,4318321,1912626,OuterMembrane
838,sll1242,944958.,649034.,1266423,1408151,1055165,Cytoplasmic
839,slr1431,621031.,697209.,924935.,783431.,361406.,Unknown
840,sll2010,443901.,575122.,283743.,198695.,581968.,Cytoplasmic
841,ssl0564,974913.,693748.,671853.,468323.,215081.,Cytoplasmic
842,slr2073,4046549,1966030,1265127,2556472,2285406,Unknown
843,slr0618,144719.,221993.,382908.,363024.,272717.,Cytoplasmic
844,slr1829,383097.,319611.,181115.,129230.,196543.,Cytoplasmic
845,sll1314,6571669,4266359,9501466,9196023,4224692,Periplasmic
846,slr1704,900047.,1327435,1082796,829666.,1141293,CytoplasmicMembrane
847,sll1035,1037387,6582327,1245063,1109182,3136562,Cytoplasmic
848,ssr1766,974540.,682223.,503791.,588954.,651202.,Unknown
849,sll1029,1060350,2286852,2972564,2231386,3526165,Cytoplasmic
850,sll0534,2520538,1773249,2297399,2035815,3782991,Cytoplasmic
851,sll1758,2576030,1773033,2009612,1781705,2195613,Cytoplasmic
852,sll0819,8546307,8731289,4501486,1277828,1112244,CytoplasmicMembrane
853,sll1107,203355.,336721.,216364.,130102.,129521.,CytoplasmicMembrane
854,slr0951,1164385,851625.,943029.,835163.,469602.,Unknown
855,slr7011,175341.,70257.4,97312.3,103370.,112384.,Cytoplasmic
856,sll0495,551714.,472432.,1013920,547640.,943703.,Cytoplasmic
857,sll1272,970817.,943783.,758488.,620890.,2923349,Cytoplasmic
858,slr1942,8532707,8493871,8126000,5291152,5708625,Cytoplasmic
859,ssl5095,317366.,530043.,512479.,732300.,545562.,Unknown
860,sll0553,1484701,1185908,1172976,806066.,1398153,Unknown
861,sll0844,1806110,540353.,444441.,539163.,486854.,Cytoplasmic
862,slr0082,2036858,1292503,1990800,1778809,2582613,Cytoplasmic
863,sll1049,677139.,722978.,1654901,1194370,1761765,Cytoplasmic
864,slr1160,9957855,9222661,1087263,1832430,8028048,Unknown
865,slr1838,2152445,2290631,1621652,1116925,653792.,Unknown
866,sll0519,944460.,1170184,1798837,1560443,1945157,CytoplasmicMembrane
867,slr2130,3540613,2879312,3493591,3150815,4161730,Cytoplasmic
868,sll0173,620513.,1651978,555564.,504852.,339192.,Cytoplasmic
869,slr1865,114677.,181957.,142589.,214893.,249255.,Unknown
870,sll1394,3837932,4751022,6671482,6659074,7220836,Unknown
871,slr2059,453492.,487728.,452236.,434358.,600832.,Unknown
872,sll0998,3802631,3400227,3837975,3615759,4238754,Cytoplasmic
873,sll0007,1988877,1668388,2861231,3127543,3945977,Unknown
874,sll0064,7921804,6113838,4284198,2807359,739036.,Periplasmic
875,slr0065,76526.6,206120.,153283.,71912.4,274386.,Unknown
876,slr1619,2071599,1463874,8701658,8915723,5891703,Cytoplasmic
877,slr1347,3895387,3376694,3261691,3141918,3992651,Cytoplasmic
878,sll1640,508788.,402286.,415361.,330382.,274118.,Cytoplasmic
879,slr0163,1536169,1243948,1303748,1295575,1771189,CytoplasmicMembrane
880,sll0920,2599446,2404682,4109684,3442501,3395488,Cytoplasmic
881,slr0447,661513.,616391.,818149.,773315.,823645.,Cytoplasmic
882,slr1742,731435.,584741.,1007211,785781.,900085.,Cytoplasmic
883,slr0692,959012.,1045670,699849.,504516.,352947.,Cytoplasmic
884,sll6093,5865517,6738272,6386647,7481568,8294681,Cytoplasmic
885,sll1450,504504.,545058.,692215.,509000.,1242600,CytoplasmicMembrane
886,slr0658,1519040,621122.,1669834,1501100,1657254,Cytoplasmic
887,slr1407,703505.,905748.,1140693,1393678,1572080,Unknown
888,sll0750,927102.,785479.,550742.,433143.,487004.,CytoplasmicMembrane
889,ssl0707,3102834,4529463,2784202,3094589,4153161,CytoplasmicMembrane
890,sll1110,1245492,1010886,1306138,1356219,1713201,Cytoplasmic
891,slr0757,287193.,621670.,124317.,128020.,143009.,Cytoplasmic
892,slr1053,2307614,1245249,2188942,2604044,4985421,Cytoplasmic
893,slr0604,157626.,101287.,217418.,217564.,722278.,CytoplasmicMembrane
894,ssl2807,1256787,1794371,2134054,2213031,2994359,Unknown
895,slr1815,1571268,1479706,1465921,1608025,2305590,Cytoplasmic
896,slr0526,225996.,309507.,503969.,605082.,739866.,Unknown
897,slr1674,1430927,1498774,1401812,2220938,1544523,Unknown
898,slr1761,3882981,2774664,3735849,4012999,6155502,Periplasmic
899,sll1224,916550.,677439.,704311.,655713.,488985.,Cytoplasmic
900,sll6060,431391.,313410.,348597.,270537.,273985.,Unknown
901,ssr0332,465229.,2149041,2964917,2784041,3576727,Unknown
902,sll0822,1889442,8487172,2945139,3683027,3946296,Cytoplasmic
903,slr1821,116781.,81655.4,350204.,213552.,513676.,CytoplasmicMembrane
904,slr5126,876929.,797732.,804371.,740228.,430958.,Unknown
905,slr1204,180375.,444619.,261244.,126432.,266175.,Periplasmic
906,sll1908,3848048,4746868,1645174,1545993,1772414,Cytoplasmic
907,sll0301,835300.,370344.,1004414,852488.,669724.,Unknown
908,sll0066,284950.,309987.,407219.,367893.,468416.,CytoplasmicMembrane
909,slr1260,1660156,1350761,1937139,2135260,2740810,Unknown
910,slr1356,5879484,4985787,8096398,6499686,4532466,Cytoplasmic
911,sll1395,340878.,186078.,439913.,454099.,615840.,Cytoplasmic
912,sll1507,301827.,336961.,375286.,361595.,789465.,Unknown
913,slr0058,3744706,4124953,3560741,3865201,2301232,Unknown
914,sll1021,1096390,1304950,1322566,776190.,845680.,CytoplasmicMembrane
915,sll0910,179439.,902157.,661096.,832723.,457860.,Cytoplasmic
916,slr0645,976845.,1349883,621006.,407698.,451122.,Unknown
917,sll1931,8355479,8503801,9338527,8756991,5166953,Cytoplasmic
918,slr1272,120898.,211771.,76887.1,99476.4,190734.,Unknown
919,slr1474,158366.,144582.,157181.,131619.,222707.,Cytoplasmic
920,slr5023,1273904,1289272,846994.,686395.,483974.,Cytoplasmic
921,slr0582,306554.,187694.,172820.,109515.,215435.,CytoplasmicMembrane
922,ssr1041,2454644,9121844,3527078,6817205,5861024,Unknown
923,slr0066,164069.,211281.,161787.,108216.,183735.,Cytoplasmic
924,sll1524,3641433,2084455,2822972,2821546,619939.,Cytoplasmic
925,sll0033,1366584,992727.,1439544,1136584,508571.,Cytoplasmic
926,slr1110,595675.,539125.,317575.,382050.,327304.,CytoplasmicMembrane
927,sll0517,477029.,801114.,1198678,2372614,995822.,Unknown
928,sll0163,387015.,209508.,243518.,181779.,445782.,CytoplasmicMembrane
929,slr1566,190733.,294787.,416560.,441626.,322393.,CytoplasmicMembrane
930,sll1234,1247988,1483437,5888963,8676842,4492539,Cytoplasmic
931,slr0110,3237704,3425900,4192380,4980494,4016828,Cytoplasmic
932,sll1679,1849863,1569888,1556868,1545721,1258516,Periplasmic
933,slr1729,277664.,203982.,220851.,165779.,642629.,CytoplasmicMembrane
934,ssl2138,482631.,1160426,666476.,888591.,652204.,Unknown
935,slr0603,364309.,299571.,191941.,198416.,214666.,Cytoplasmic
936,sll1316,1559171,2428433,3024439,3606842,3535332,CytoplasmicMembrane
937,ssl3829,247633.,78213.6,250715.,198552.,368982.,Unknown
938,slr0116,596951.,498299.,1127084,846064.,747873.,Cytoplasmic
939,slr1772,1884730,1458986,1908243,1658026,1623287,Unknown
940,ssr2998,1031995,1038844,7734740,3531174,1212691,Unknown
941,sll1367,973666.,537789.,874090.,759461.,820651.,Cytoplasmic
942,sll0810,3811344,3980726,866008.,2881282,2499003,Cytoplasmic
943,slr0907,5054086,4394538,5918618,4422289,6898384,Cytoplasmic
944,slr0787,63524.4,65687.6,88826.6,73530.5,132057.,Cytoplasmic
945,sll0945,3806549,3976736,6994038,7214879,6398833,Cytoplasmic
946,sll1538,609708.,413773.,710368.,549720.,638227.,Cytoplasmic
947,sll0923,1851110,1202008,1693185,1484170,1749147,CytoplasmicMembrane
948,sll0209,461663.,548882.,166701.,187270.,202914.,Cytoplasmic
949,sll5034,569090.,944725.,680763.,789730.,442170.,Unknown
950,slr1411,514211.,425524.,523005.,436483.,559761.,Cytoplasmic
951,sll0501,320485.,329489.,325088.,301793.,469897.,CytoplasmicMembrane
952,slr0406,173811.,309187.,184847.,172391.,243421.,Cytoplasmic
953,ssl1762,1533001,1665418,1572260,1204261,1694583,Unknown
954,ssr2551,2911564,1838026,1348214,1073310,2775193,Unknown
955,sll0736,248015.,328460.,195715.,230375.,151140.,Unknown
956,sll1028,9457934,1915292,7841956,7822310,6778672,Cytoplasmic
957,sll1612,386659.,360445.,456868.,385657.,470475.,Cytoplasmic
958,sll1894,675896.,453750.,383176.,439218.,540357.,Cytoplasmic
959,slr1409,1874204,2970588,1408068,1478196,1790423,Unknown
960,sll1816,619242.,1021393,176983.,261921.,119547.,Cytoplasmic
961,slr0922,692169.,456677.,722700.,736163.,1017951,Cytoplasmic
962,sll1508,1728543,1327378,1644179,1464498,1487946,Cytoplasmic
963,slr0369,2661273,1881113,2423568,1858141,2112138,CytoplasmicMembrane
964,slr1692,189581.,157668.,306595.,214498.,151096.,CytoplasmicMembrane
965,slr1958,2616429,1818479,1776874,1593715,2020449,Unknown
966,sll0487,1127118,1196424,1896115,1753647,1503161,Cytoplasmic
967,slr1727,1142043,1169134,1476955,1304837,2080541,CytoplasmicMembrane
968,slr1224,5902666,4705256,8103826,3979783,3389676,CytoplasmicMembrane
969,sll0507,229360.,301710.,487477.,363597.,350791.,CytoplasmicMembrane
970,sll1775,1194081,1701261,3102261,2817510,1405678,Unknown
971,sll0569,1153826,814256.,1374576,1016527,1840792,Cytoplasmic
972,slr1780,2609648,2289348,1562329,3082168,3455919,Unknown
973,slr2070,603993.,1369293,598795.,609417.,753264.,Unknown
974,slr5118,6264023,6185796,7334628,1166951,4931063,Cytoplasmic
975,slr1777,160085.,375496.,182899.,178246.,499815.,Cytoplasmic
976,sll5080,1471187,1201502,1223276,1090182,1002690,Cytoplasmic
977,sll1423,615733.,639882.,342558.,544072.,197912.,Cytoplasmic
978,sll1521,756154.,735430.,576171.,481060.,456396.,Cytoplasmic
979,slr0148,1101108,1446002,1084015,1072365,2069886,Cytoplasmic
980,slr1857,515181.,562140.,1311145,1612965,1509316,Cytoplasmic
981,slr0536,7018559,6732519,4186956,4650918,1737477,Cytoplasmic
982,sll1241,381226.,208037.,508284.,561364.,519031.,Cytoplasmic
983,sll1432,128783.,84559.8,252593.,121092.,121790.,Cytoplasmic
984,slr1800,394449.,306762.,1060145,1484679,1431891,Cytoplasmic
985,sll1559,3596051,3454671,2540805,3547110,2197392,Cytoplasmic
986,sll0752,279015.,589006.,515518.,549445.,690550.,Unknown
987,sll0006,3426242,2398273,2576816,1676476,2622521,Cytoplasmic
988,slr1173,272710.,271676.,479399.,382329.,190430.,Unknown
989,sll1620,6120602,6634679,2458329,5091031,2651723,Unknown
990,slr0451,208435.,147382.,130060.,150977.,202543.,Cytoplasmic
991,sll0359,2207157,2908684,909170.,1372605,1344564,Cytoplasmic
992,sll0154,771708.,619822.,1013558,1013052,1467071,CytoplasmicMembrane
993,slr0457,551689.,549584.,618211.,416553.,373808.,Cytoplasmic
994,slr1274,6820575,4038428,3279994,3005113,3956091,Cytoplasmic
995,slr7012,341173.,295846.,414461.,276670.,173985.,Unknown
996,slr0839,1689042,1088643,1820640,1303376,1702867,Cytoplasmic
997,slr0520,1944685,1158001,1350941,386653.,1593962,Cytoplasmic
998,ssl2384,2904699,2381632,3251000,2635468,1119022,Unknown
999,slr0600,5435844,4398053,3944403,4519984,5511105,Cytoplasmic
1000,sll0455,1479731,1507985,1786217,1527836,1788205,Cytoplasmic
1001,slr1312,1812167,1716668,2423292,1206932,1396217,Unknown
1002,sll0631,590985.,353986.,499978.,406163.,654618.,Cytoplasmic
1003,sll1636,160889.,237295.,479340.,309925.,460407.,Cytoplasmic
1004,sll1418,5118206,4690649,5079201,4174165,5196000,Unknown
1005,slr0877,3047072,3245705,2221420,1759646,2739375,Cytoplasmic
1006,slr1377,2296010,1789166,2670348,2502924,1799329,CytoplasmicMembrane
1007,sll0638,913344.,212936.,998516.,846912.,477355.,Unknown
1008,slr1044,401013.,198933.,372163.,291647.,294984.,Unknown
1009,sll1900,318366.,136728.,253543.,259832.,292969.,Cytoplasmic
1010,slr0844,3235830,2734078,2472054,2763207,3642427,CytoplasmicMembrane
1011,sll0456,270630.,320105.,517625.,309248.,312391.,Cytoplasmic
1012,slr1418,299300.,182009.,391224.,525942.,572681.,CytoplasmicMembrane
1013,sll0205,174723.,173659.,88665.3,85562.5,275508.,Unknown
1014,slr1218,941411.,874457.,1205931,1168649,841066.,Unknown
1015,sll0947,377195.,297626.,566104.,285662.,289698.,Cytoplasmic
1016,slr1194,2534395,1931663,2242964,1893728,1918036,Cytoplasmic
1017,sll1424,684533.,2399554,2355282,5985782,2192199,CytoplasmicMembrane
1018,sll1005,250690.,229798.,280316.,304392.,297496.,Unknown
1019,sll1186,74442.7,181815.,342898.,299024.,359179.,Cytoplasmic
1020,slr0611,2724502,2566393,3160001,1374949,1480379,Cytoplasmic
1021,slr1993,470151.,531488.,1033370,887246.,715822.,Cytoplasmic
1022,sll0837,1212654,1291023,1369019,1513117,1626436,Unknown
1023,sll0873,760807.,845091.,605495.,439912.,409135.,Cytoplasmic
1024,slr1510,2369642,1911398,2474983,2406336,2179367,Cytoplasmic
1025,slr6095,994431.,441151.,654738.,781162.,740507.,Cytoplasmic
1026,sll1109,4740325,4596706,3309748,4014053,5437416,Cytoplasmic
1027,sll1673,502673.,301490.,479076.,420355.,396357.,Cytoplasmic
1028,slr5088,211254.,181717.,158729.,113411.,210552.,Cytoplasmic
1029,slr0771,455659.,299352.,529138.,593507.,655400.,Unknown
1030,slr7013,282139.,261910.,206485.,153661.,239154.,Unknown
1031,slr0586,858579.,751451.,747770.,1156268,187875.,Cytoplasmic
1032,sll1308,209581.,487019.,812898.,684721.,506774.,Cytoplasmic
1033,slr1208,1457666,1046086,1122560,953897.,808305.,Cytoplasmic
1034,slr1644,201671.,453259.,193209.,345372.,531428.,Unknown
1035,sll0602,1669592,1216788,1620102,1428593,1838561,Cytoplasmic
1036,sll0461,1090330,854869.,1586022,1160090,1389044,Cytoplasmic
1037,slr0267,168870.,169559.,233737.,232618.,139406.,Cytoplasmic
1038,slr0333,1416863,1670739,1186514,1529541,898508.,Unknown
1039,slr1853,1954695,1897529,2219199,1961122,1765075,Unknown
1040,slr0211,139332.,98420.0,186506.,140545.,134584.,Cytoplasmic
1041,sll0335,1774541,1147728,1946589,1562345,1309159,Cytoplasmic
1042,sll0260,102104.,150767.,97805.7,80464.3,160494.,CytoplasmicMembrane
1043,sll1830,5075615,5089144,4756232,3480307,3480271,Cytoplasmic
1044,slr0795,198870.,147058.,333797.,252431.,167132.,CytoplasmicMembrane
1045,slr0074,486882.,980038.,454013.,582273.,749262.,Unknown
1046,sll0322,125481.,168962.,180826.,89315.7,279077.,Cytoplasmic
1047,sll1023,323570.,682257.,484984.,396783.,415506.,Unknown
1048,sll0068,320976.,265143.,392319.,273068.,345283.,CytoplasmicMembrane
1049,sll0767,3061994,7151131,2608189,2885009,8947823,Cytoplasmic
1050,slr1830,292038.,280150.,157404.,228027.,571318.,Cytoplasmic
